route_id,stop_id,stop_name,next_stop
1,1,THIRUVOTRIYUR,THIRUVOTRIYUR TEMPLE
1,2,THIRUVOTRIYUR TEMPLE,THANGAL
1,3,THANGAL,ANNA NAGAR
1,4,ANNA NAGAR,ROYAPURAM P.S
1,5,ROYAPURAM P.S,CLIVE BATTERY
1,6,CLIVE BATTERY,PARRYS
1,7,PARRYS,M.G.R.CENTRAL
1,8,M.G.R.CENTRAL,P.OR & SONS
1,9,P.OR & SONS,WESLEY H.S
1,10,WESLEY H.S,Y.M.I.A
1,11,Y.M.I.A,MANDAVELI
1,12,MANDAVELI,A.M.S.HOSPITAL
1,13,A.M.S.HOSPITAL,ADYAR O.T.
1,14,ADYAR O.T.,ADYAR DEPOT
1,15,ADYAR DEPOT,THIRUVANMIYUR
1,16,THIRUVANMIYUR,1
101,1,THIRUVOTRIYUR,THRUVOTRIYUR TEMPLE
101,2,THRUVOTRIYUR TEMPLE,THANGAL
101,3,THANGAL,ANNA NAGAR
101,4,ANNA NAGAR,ROYAPURAM P.S
101,5,ROYAPURAM P.S,CLIVE BATTERY
101,6,CLIVE BATTERY,PARRYS
101,7,PARRYS,M.G.R.CENTRAL
101,8,M.G.R.CENTRAL,DASAPRAKASH
101,9,DASAPRAKASH,TAYLORS ROAD
101,10,TAYLORS ROAD,AMINJIKARAI
101,11,AMINJIKARAI,NADUVANKARAI
101,12,NADUVANKARAI,ARUMBAKKAM
101,13,ARUMBAKKAM,NERKUNDRAM
101,14,NERKUNDRAM,MADURAVOYAL
101,15,MADURAVOYAL,VAANAGARAM
101,16,VAANAGARAM,VELAPPANCHAVADI
101,17,VELAPPANCHAVADI,KUMUNANCHAVADI
101,18,KUMUNANCHAVADI,POONAMALLEE
101,19,POONAMALLEE,101
102,1,BROADWAY,SECRETARIAT
102,2,SECRETARIAT,CHEPAUK
102,3,CHEPAUK,Q.M.C
102,4,Q.M.C,FORESHORE ESTATE
102,5,FORESHORE ESTATE,A.M.S.HOSPITAL
102,6,A.M.S.HOSPITAL,ADYAR O.T.
102,7,ADYAR O.T.,INDIRA NAGAR WATER TANK
102,8,INDIRA NAGAR WATER TANK,SRP TOOLS
102,9,SRP TOOLS,KANDANCHAVADI
102,10,KANDANCHAVADI,THORAPPAKKAM TEA SHOP
102,11,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI
102,12,MOOTAKARAN CHAVADI,KARAPAKKAM
102,13,KARAPAKKAM,SHOZHANGANALLUR P.U.OFFICE
102,14,SHOZHANGANALLUR P.U.OFFICE,KUMARAN NAGAR
